number,name,status
0400,PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
0390,PEP 390 – Static metadata for Distutils,Rejected
0394,PEP 394 – The “python” Command on Unix-Like Systems,Active
0391,PEP 391 – Dictionary-Based Configuration For Logging,Final
0395,PEP 395 – Qualified Names for Modules,Withdrawn
0389,New Command Line Parsing Module,Final
0383,PEP 383 – Non-decodable Bytes in System Character Interfaces,Final
0393,PEP 393 – Flexible String Representation,Final
0387,PEP 387 – Backwards Compatibility Policy,Active
0382,PEP 382 – Namespace Packages,Rejected
0381,PEP 381 – Mirroring infrastructure for PyPI,Withdrawn
0384,PEP 384 – Defining a Stable ABI,Final
0385,PEP 385 – Migrating from Subversion to Mercurial,Final
0386,PEP 386 – Changing the version comparison module in Distutils,Superseded
0379,PEP 379 – Adding an Assignment Expression,Withdrawn
0380,PEP 380 – Syntax for Delegating to a Subgenerator,Final
0375,PEP 375 – Python 3.1 Release Schedule,Final
0377,PEP 377 – Allow __enter__() methods to skip the statement body,Rejected
0373,PEP 373 – Python 2.7 Release Schedule,Final
0376,PEP 376 – Database of Installed Python Distributions,Final
0378,PEP 378 – Format Specifier for Thousands Separator,Final
0371,PEP 371 – Addition of the multiprocessing package to the standard library,Final
0370,PEP 370 – Per user site-packages directory,Final
0369,PEP 369 – Post import hooks,Withdrawn
0372,PEP 372 – Adding an ordered dictionary to collections,Final
0365,PEP 365 – Adding the pkg_resources module,Rejected
0374,PEP 374 – Choosing a distributed VCS for the Python project,Final
0367,PEP 367 – New Super,Superseded
0368,PEP 368 – Standard image protocol and class,Deferred
0363,PEP 363 – Syntax For Dynamic Attribute Access,Rejected
0364,PEP 364 – Transitioning to the Py3K Standard Library,Withdrawn
0360,PEP 360 – Externally Maintained Packages,Final
0366,PEP 366 – Main module explicit relative imports,Final
0361,PEP 361 – Python 2.6 and 3.0 Release Schedule,Final
0362,PEP 362 – Function Signature Object,Final
0359,PEP 359 – The “make” Statement,Withdrawn
0356,PEP 356 – Python 2.5 Release Schedule,Final
0353,PEP 353 – Using ssize_t as the index type,Final
0357,PEP 357 – Allowing Any Object to be Used for Slicing,Final
0354,PEP 354 – Enumerations in Python,Superseded
0355,Object oriented filesystem paths,Rejected
0351,PEP 351 – The freeze protocol,Rejected
0352,PEP 352 – Required Superclass for Exceptions,Final
0349,PEP 349 – Allow str() to return unicode strings,Rejected
0358,PEP 358 – The “bytes” Object,Final
0348,PEP 348 – Exception Reorganization for Python 3.0,Rejected
0350,PEP 350 – Codetags,Rejected
0347,PEP 347 – Migrating the Python CVS to Subversion,Final
0341,PEP 341 – Unifying try-except and try-finally,Final
0345,PEP 345 – Metadata for Python Software Packages 1.2,Superseded
0342,PEP 342 – Coroutines via Enhanced Generators,Final
0343,PEP 343 – The “with” Statement,Final
0346,PEP 346 – User Defined (”,Withdrawn
0344,PEP 344 – Exception Chaining and Embedded Tracebacks,Superseded
0337,PEP 337 – Logging Usage in the Standard Library,Deferred
0340,PEP 340 – Anonymous Block Statements,Rejected
0338,PEP 338 – Executing modules as scripts,Final
0336,PEP 336 – Make None Callable,Rejected
0334,PEP 334 – Simple Coroutines via SuspendIteration,Withdrawn
0335,PEP 335 – Overloadable Boolean Operators,Rejected
0339,PEP 339 – Design of the CPython Compiler,Withdrawn
0332,PEP 332 – Byte vectors and String/Unicode Unification,Rejected
0330,PEP 330 – Python Bytecode Verification,Rejected
0331,PEP 331 – Locale-Independent Float/String Conversions,Final
0329,PEP 329 – Treating Builtins as Constants in the Standard Library,Rejected
0325,PEP 325 – Resource-Release Support for Generators,Rejected
0328,PEP 328 – Imports: Multi-Line and Absolute/Relative,Final
0322,PEP 322 – Reverse Iteration,Final
0324,New process module,Final
0323,PEP 323 – Copyable Iterators,Deferred
0326,PEP 326 – A Case for Top and Bottom Values,Rejected
0319,PEP 319 – Python Synchronize/Asynchronize Block,Rejected
0327,PEP 327 – Decimal Data Type,Final
0320,PEP 320 – Python 2.4 Release Schedule,Final
0316,PEP 316 – Programming by Contract for Python,Deferred
0317,PEP 317 – Eliminate Implicit Exception Instantiation,Rejected
0321,PEP 321 – Date/Time Parsing and Formatting,Withdrawn
0315,PEP 315 – Enhanced While Loop,Rejected
0333,PEP 333 – Python Web Server Gateway Interface v1.0,Final
0318,PEP 318 – Decorators for Functions and Methods,Final
0314,PEP 314 – Metadata for Python Software Packages 1.1,Superseded
0313,PEP 313 – Adding Roman Numeral Literals to Python,Rejected
0311,PEP 311 – Simplified Global Interpreter Lock Acquisition for Extensions,Final
0312,PEP 312 – Simple Implicit Lambda,Deferred
0309,PEP 309 – Partial Function Application,Final
0306,PEP 306 – How to Change Python’s Grammar,Withdrawn
0310,PEP 310 – Reliable Acquisition/Release Pairs,Rejected
0308,PEP 308 – Conditional Expressions,Final
0303,PEP 303 – Extend divmod() for Multiple Divisors,Rejected
0299,PEP 299 – Special __main__() function in modules,Rejected
0301,PEP 301 – Package Index and Metadata for Distutils,Final
0298,PEP 298 – The Locked Buffer Interface,Withdrawn
0304,PEP 304 – Controlling Generation of Bytecode Files,Withdrawn
0297,PEP 297 – Support for System Upgrades,Rejected
0295,PEP 295 – Interpretation of multiline string constants,Rejected
0302,PEP 302 – New Import Hooks,Final
0305,PEP 305 – CSV File API,Final
0294,PEP 294 – Type Names in the types Module,Rejected
0296,PEP 296 – Adding a bytes Object Type,Withdrawn
0291,PEP 291 – Backward Compatibility for the Python 2 Standard Library,Superseded
0292,PEP 292 – Simpler String Substitutions,Final
0293,PEP 293 – Codec Error Handling Callbacks,Final
0307,PEP 307 – Extensions to the pickle protocol,Final
0290,PEP 290 – Code Migration and Modernization,Active
0289,PEP 289 – Generator Expressions,Final
0288,PEP 288 – Generators Attributes and Exceptions,Withdrawn
0286,PEP 286 – Enhanced Argument Tuples,Deferred
0284,PEP 284 – Integer for-loops,Rejected
0287,PEP 287 – reStructuredText Docstring Format,Active
0281,PEP 281 – Loop Counter Iteration with range and xrange,Rejected
0283,PEP 283 – Python 2.3 Release Schedule,Final
0279,PEP 279 – The enumerate() built-in function,Final
0285,PEP 285 – Adding a bool type,Final
0282,PEP 282 – A Logging System,Final
0280,PEP 280 – Optimizing access to globals,Deferred
0277,PEP 277 – Unicode file name support for Windows NT,Final
0278,PEP 278 – Universal Newline Support,Final
0271,PEP 271 – Prefixing sys.path by command line option,Rejected
0276,PEP 276 – Simple Iterator for ints,Rejected
0270,PEP 270 – uniq method for list objects,Rejected
0273,PEP 273 – Import Modules from Zip Archives,Final
0275,PEP 275 – Switching on Multiple Values,Rejected
0269,PEP 269 – Pgen Module for Python,Deferred
0268,PEP 268 – Extended HTTP functionality and WebDAV,Rejected
0267,PEP 267 – Optimized Access to Module Namespaces,Deferred
0266,PEP 266 – Optimizing Global Variable/Attribute Access,Withdrawn
0265,PEP 265 – Sorting Dictionaries by Value,Rejected
0264,PEP 264 – Future statements in simulated shells,Final
0263,PEP 263 – Defining Python Source Code Encodings,Final
0272,PEP 272 – API for Block Encryption Algorithms v1.0,Final
0274,PEP 274 – Dict Comprehensions,Final
0261,PEP 261 – Support for “wide” Unicode characters,Final
0262,PEP 262 – A Database of Installed Python Packages,Rejected
0260,PEP 260 – Simplify xrange(),Final
0259,PEP 259 – Omit printing newline after newline,Rejected
0256,PEP 256 – Docstring Processing System Framework,Rejected
0257,PEP 257 – Docstring Conventions,Active
0254,PEP 254 – Making Classes Look More Like Types,Rejected
0251,PEP 251 – Python 2.2 Release Schedule,Final
0250,PEP 250 – Using site-packages on Windows,Final
0252,PEP 252 – Making Types Look More Like Classes,Final
0255,PEP 255 – Simple Generators,Final
0253,PEP 253 – Subtyping Built-in Types,Final
0247,PEP 247 – API for Cryptographic Hash Functions,Final
0245,PEP 245 – Python Interface Syntax,Rejected
0248,PEP 248 – Python Database API Specification v1.0,Final
0244,PEP 244 – The,Rejected
0243,PEP 243 – Module Repository Upload Mechanism,Withdrawn
0249,PEP 249 – Python Database API Specification v2.0,Final
0241,PEP 241 – Metadata for Python Software Packages,Superseded
0240,PEP 240 – Adding a Rational Literal to Python,Rejected
0246,PEP 246 – Object Adaptation,Rejected
0239,PEP 239 – Adding a Rational Type to Python,Rejected
0242,PEP 242 – Numeric Kinds,Withdrawn
0258,PEP 258 – Docutils Design Specification,Rejected
0238,PEP 238 – Changing the Division Operator,Final
0236,PEP 236 – Back to the __future__,Final
0237,PEP 237 – Unifying Long Integers and Integers,Final
0235,PEP 235 – Import on Case-Insensitive Platforms,Final
0233,PEP 233 – Python Online Help,Deferred
0234,PEP 234 – Iterators,Final
0229,PEP 229 – Using Distutils to Build Python,Final
0228,PEP 228 – Reworking Python’s Numeric Model,Withdrawn
0232,PEP 232 – Function Attributes,Final
0226,PEP 226 – Python 2.1 Release Schedule,Final
0230,PEP 230 – Warning Framework,Final
0224,PEP 224 – Attribute Docstrings,Rejected
0220,"PEP 220 – Coroutines, Generators, Continuations",Rejected
0221,PEP 221 – Import As,Final
0227,PEP 227 – Statically Nested Scopes,Final
0222,PEP 222 – Web Library Enhancements,Deferred
0225,PEP 225 – Elementwise/Objectwise Operators,Rejected
0231,PEP 231 – __findattr__(),Rejected
0217,PEP 217 – Display Hook for Interactive Use,Final
0215,PEP 215 – String Interpolation,Superseded
0219,PEP 219 – Stackless Python,Deferred
0218,PEP 218 – Adding a Built-In Set Object Type,Final
0212,PEP 212 – Loop Counter Iteration,Rejected
0214,PEP 214 – Extended Print Statement,Final
0223,PEP 223 – Change the Meaning of,Final
0210,PEP 210 – Decoupling the Interpreter Loop,Rejected
0216,PEP 216 – Docstring Format,Withdrawn
0206,PEP 206 – Python Advanced Library,Withdrawn
0208,PEP 208 – Reworking the Coercion Model,Final
0209,PEP 209 – Multi-dimensional Arrays,Withdrawn
0207,PEP 207 – Rich Comparisons,Final
0203,PEP 203 – Augmented Assignments,Final
0204,PEP 204 – Range Literals,Rejected
0211,PEP 211 – Adding A New Outer Product Operator,Rejected
0213,PEP 213 – Attribute Access Handlers,Deferred
0005,PEP 5 – Guidelines for Language Evolution,Superseded
0004,PEP 4 – Deprecation of Standard Modules,Active
0002,PEP 2 – Procedure for Adding New Modules,Active
0003,PEP 3 – Guidelines for Handling Bug Reports,Withdrawn
0201,PEP 201 – Lockstep Iteration,Final
0200,PEP 200 – Python 2.0 Release Schedule,Final
0205,PEP 205 – Weak References,Final
0202,PEP 202 – List Comprehensions,Final
